ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M19MCIJ,あのレストランでたくさん食べました_resized.jpg,あのレストランでたくさん食べました.mp3,あのカフェでたくさん飲みました.mp3,あの公園でたくさん走りました.mp3,あの店でたくさん買いました.mp3,あの教室でたくさん勉強しました.mp3,1
2,M19MCIJ,お金をたくさん使いました_resized.jpg,お金をたくさん使いました.mp3,時間をたくさん使いました.mp3,水をたくさん飲みました.mp3,本をたくさん読みました.mp3,紙をたくさん切りました.mp3,1
3,M19MCIJ,カフェでケーキをたくさん食べます_resized.jpg,カフェでケーキをたくさん食べます.mp3,図書館で本をたくさん読みます.mp3,公園でボールをたくさん投げます.mp3,教室で漢字をたくさん書きます.mp3,店でりんごをたくさん買います.mp3,1
4,M19MCIJ,きのうのパーティーで料理をたくさん食べました_resized.jpg,きのうのパーティーで料理をたくさん食べました.mp3,きのうの授業で単語をたくさん勉強しました.mp3,きのうの旅行で写真をたくさん撮りました.mp3,きのうの海で泳ぎをたくさんしました.mp3,きのうの店でシャツをたくさん買いました.mp3,1
5,M19MCIJ,きょうはたくさん歩きました_resized.jpg,きょうはたくさん歩きました.mp3,きょうはたくさん走りました.mp3,きょうはたくさん泳ぎました.mp3,きょうはたくさん歌いました.mp3,きょうはたくさん勉強しました.mp3,1
6,M19MCIJ,ケーキをたくさん作りました_resized.jpg,ケーキをたくさん作りました.mp3,サンドイッチをたくさん作りました.mp3,カレーをたくさん作りました.mp3,お茶をたくさん入れました.mp3,絵をたくさん描きました.mp3,1
7,M19MCIJ,コーヒーをたくさん飲みました_resized.jpg,コーヒーをたくさん飲みました.mp3,水をたくさん飲みました.mp3,ジュースをたくさん飲みました.mp3,牛乳をたくさん飲みました.mp3,お茶をたくさん飲みました.mp3,1
8,M19MCIJ,コンビニでお菓子をたくさん買います_resized.jpg,コンビニでお菓子をたくさん買います.mp3,本屋で雑誌をたくさん買います.mp3,スーパーで野菜をたくさん買います.mp3,文房具屋でペンをたくさん買います.mp3,花屋で花をたくさん買います.mp3,1
9,M19MCIJ,デスクの上にペンがたくさんあります_resized.jpg,デスクの上にペンがたくさんあります.mp3,椅子の上に本がたくさんあります.mp3,棚の中に箱がたくさんあります.mp3,床の上に紙がたくさんあります.mp3,カバンの中に鍵がたくさんあります.mp3,1
10,M19MCIJ,テストの勉強をたくさんしました_resized.jpg,テストの勉強をたくさんしました.mp3,カラオケの練習をたくさんしました.mp3,料理の準備をたくさんしました.mp3,掃除の仕事をたくさんしました.mp3,歌の練習をたくさんしました.mp3,1
11,M19MCIJ,デパートで洋服をたくさん買いました_resized.jpg,デパートで洋服をたくさん買いました.mp3,スーパーで果物をたくさん買いました.mp3,本屋で漫画をたくさん買いました.mp3,花屋でバラをたくさん買いました.mp3,マーケットで薬をたくさん買いました.mp3,1
